花,1009
傾,1011
化,1008
荷,1013
貨,1010
何,1012
傍,1015
久,1016
畝,1017
俊,1014
内,1019
囚,1018
泳,136
丙,1020
江,139
沼,137
潮,141
沖,138
源,142
汁,140
消,144
況,145
活,143
泊,147
河,146
測,149
湖,148
回,586
土,150
店,588
壇,587
庭,590
庫,589
庁,591
麻,593
磨,594
心,595
忘,596
忍,597
床,592
忌,599
認,598
志,600
徴,887
懲,888
微,889
街,890
衡,891
稿,892
稼,893
程,894
税,895
稚,896
和,897
移,898
秒,899
秋,900
弓,1231
引,1232
弔,1233
弘,1234
強,1235
弱,1236
沸,1237
費,1238
第,1239
弟,1240
巧,1241
号,1242
朽,1243
誇,1244
汚,1245
舎,316
周,317
週,318
士,319
吉,320
壮,321
荘,322
売,323
学,324
覚,325
栄,326
書,327
津,328
牧,329
攻,330
事,1156
唐,1157
糖,1158
康,1159
逮,1160
伊,1161
徹,886
君,1162
耐,1164
群,1163
需,1165
儒,1166
端,1167
両,1168
満,1169
画,1170
芝,1216
不,1217
否,1218
杯,1219
矢,1220
矯,1221
族,1222
知,1223
智,1224
矛,1225
柔,1226
務,1227
霧,1228
班,1229
帰,1230
琴,1591
陰,1592
予,1593
序,1594
預,1595
野,1596
兼,1597
嫌,1598
鎌,1599
謙,1600
廉,1601
西,1602
価,1603
要,1604
腰,1605
肥,1771
甘,1772
紺,1773
某,1774
謀,1775
媒,1776
欺,1777
棋,1778
旗,1779
期,1780
碁,1781
基,1782
甚,1783
勘,1784
堪,1785
本,211
札,212
暦,213
案,214
燥,215
未,216
末,217
沫,218
味,219
妹,220
朱,221
株,222
若,223
草,224
苦,225
表,1546
俵,1547
潔,1548
契,1549
喫,1550
害,1551
轄,1552
割,1553
憲,1554
生,1555
星,1556
姓,1557
性,1558
牲,1559
産,1560
詩,346
語,347
読,348
調,349
談,350
諾,351
諭,352
式,353
試,354
弐,355
域,356
賊,357
栽,358
載,359
茂,360
胆,31
亘,32
凹,33
凸,34
旧,35
自,36
白,37
百,38
中,39
千,40
舌,41
升,42
昇,43
丸,44
寸,45
童,436
瞳,437
鐘,438
商,439
嫡,440
適,441
滴,442
敵,443
匕,444
北,445
背,446
比,447
昆,448
皆,449
混,450
歯,1171
曲,1172
曹,1173
遭,1174
漕,1175
槽,1176
斗,1177
料,1178
科,1179
図,1180
用,1181
庸,1182
備,1183
昔,1184
錯,1185
汗,1651
軒,1652
岸,1653
幹,1654
芋,1655
宇,1656
余,1657
除,1658
徐,1659
叙,1660
途,1661
斜,1662
塗,1663
束,1664
頼,1665
頑,61
凡,62
負,63
万,64
句,65
肌,66
旬,67
勺,68
的,69
首,70
乱,72
乙,71
直,73
具,74
真,75
誌,601
忠,602
串,603
患,604
思,605
恩,606
応,607
意,608
想,609
息,610
憩,611
恵,612
恐,613
惑,614
感,615
低,1831
抵,1832
底,1833
民,1834
眠,1835
捕,1836
浦,1837
蒲,1838
舗,1839
補,1840
邸,1841
郭,1842
郡,1843
郊,1844
部,1845
工,76
左,77
右,78
有,79
賄,80
貢,81
項,82
刀,83
刃,84
切,85
召,86
昭,87
則,88
副,89
別,90
投,706
没,707
設,708
撃,709
殻,710
支,711
技,712
枝,713
肢,714
茎,715
怪,716
軽,717
叔,718
督,719
寂,720
謹,1576
勤,1577
漢,1578
嘆,1579
難,1580
華,1581
垂,1582
睡,1583
錘,1584
乗,1585
剰,1586
今,1587
含,1588
吟,1589
念,1590
総,1366
綿,1367
絹,1368
繰,1369
継,1370
緑,1371
縁,1372
網,1373
緊,1374
紫,1375
縛,1376
縄,1377
幼,1378
後,1379
幽,1380
諸,1261
猪,1262
渚,1263
賭,1264
峡,1265
狭,1266
挟,1267
追,1268
師,1269
帥,1270
官,1271
棺,1272
管,1273
父,1274
交,1275
簡,1621
開,1622
閉,1623
閣,1624
閑,1625
聞,1626
潤,1627
欄,1628
闘,1629
倉,1630
創,1631
非,1632
俳,1633
排,1634
悲,1635
毒,1531
素,1532
麦,1533
青,1534
精,1535
請,1536
情,1537
晴,1538
清,1539
静,1540
責,1541
績,1542
積,1543
債,1544
漬,1545
敗,331
枚,332
故,333
敬,334
言,335
警,336
計,337
訂,339
獄,338
討,340
訓,341
詔,342
詰,343
話,344
詠,345
禍,1291
渦,1292
過,1293
阪,1294
阿,1295
際,1296
障,1297
随,1298
陪,1299
陽,1300
陳,1301
防,1302
附,1303
院,1304
陣,1305
薫,1681
病,1682
痴,1683
痘,1684
症,1685
疾,1686
痢,1687
疲,1688
疫,1689
痛,1690
癖,1691
匿,1692
匠,1693
医,1694
匹,1695
成,361
城,362
誠,363
威,364
滅,365
減,366
桟,367
銭,368
浅,369
止,370
歩,371
渉,372
頻,373
肯,374
企,375
瀬,1666
勅,1667
疎,1668
速,1669
整,1670
剣,1671
険,1672
検,1673
倹,1674
重,1675
動,1676
勲,1677
働,1678
種,1679
衝,1680
括,661
揮,662
推,663
揚,664
損,666
提,665
拾,667
担,668
拠,669
描,670
操,671
接,672
掲,673
掛,674
研,675
罪,1636
輩,1637
扉,1638
侯,1639
候,1640
決,1641
快,1642
違,1644
偉,1643
緯,1645
衛,1646
韓,1647
干,1648
肝,1649
刊,1650
普,1726
譜,1727
湿,1728
顕,1729
繊,1730
霊,1731
業,1732
撲,1733
僕,1734
共,1735
供,1736
異,1737
翼,1738
洪,1739
港,1740
窒,1321
窃,1322
窪,1323
窯,1325
窮,1326
探,1327
深,1328
丘,1329
搾,1324
兵,1331
浜,1332
糸,1333
織,1334
繕,1335
笛,1111
軸,1112
甲,1113
押,1114
岬,1115
挿,1116
申,1117
伸,1118
神,1119
捜,1120
果,1121
菓,1122
課,1123
裸,1124
斤,1125
柄,1021
肉,1022
腐,1023
座,1024
卒,1025
傘,1026
匁,1027
以,1028
似,1029
併,1030
瓦,1031
瓶,1032
宮,1033
営,1034
善,1035
形,1711
影,1712
杉,1713
彩,1714
彰,1715
彦,1716
顔,1717
須,1718
膨,1719
参,1720
惨,1721
修,1722
珍,1723
診,1724
文,1725
車,286
連,287
軌,288
輸,289
前,290
各,291
格,292
略,293
客,294
額,295
夏,296
処,297
条,298
落,299
冗,300
析,1126
所,1127
祈,1128
近,1129
折,1130
哲,1131
逝,1132
誓,1133
暫,1134
漸,1135
断,1136
質,1137
斥,1138
訴,1139
昨,1140
算,946
答,947
策,948
簿,949
築,950
人,951
佐,952
岳,1330
住,954
位,955
仲,956
体,957
悠,958
件,959
仕,960
与,1246
写,1247
身,1248
射,1249
謝,1250
老,1251
考,1252
孝,1253
教,1254
拷,1255
者,1256
煮,1257
著,1258
署,1259
暑,1260
隆,1561
峰,1562
縫,1563
拝,1564
